Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
楼斯,Lors,Name,紫色智者的船员名称 | Purple Sage Crew Member,,樓斯,로스,ロース,Lors,Lors,Lors,Lors,Lors,Lors,Lors,Lors,Lors,Lors,Лорс,Lors,ลอส์,Lors,لورس
吉安·克佛,Jiam Quarver,,"Jiam Quarver runs an illegal biohacking facility on the dwarf planet Aethra, and was responsible for manufacturing the nano-lace explosives used by the terrorists who destroyed the Star Bridge over Trantor.",,吉安·克佛,지안·커버,ジアム・クォーヴァー,Jiam Quarver,Jiam Quarver,Jiam Quarver,Jiam Quarver,Jiam Quarver,Jiam Quarver,Jiam Quarver,Jiam Quarver,Jiam Quarver,Jiam Quarver,Джиам Куарвер,Jiam Quarver,เยียม ควอร์เวอร์,Jiam Quarver,جيام كوارفر
吉安,Jiam,Name,紫色智者的船员名称 | Purple Sage Crew Member,,吉安,지안,ジアム,Jiam,Jiam,Jiam,Jiam,Jiam,Jiam,Jiam,Jiam,Jiam,Jiam,Джиам,Jiam,เยียม,Jiam,جيام
泽菲尔·哈里玛,Zephyr Halima,Name,"Hailing from Mirrus Twelve, Halima Ifa was born into faith and believes in Luminism. After earthquakes affected her world, she led to the recovery effort and became the world's saviour.",,澤菲爾·哈里瑪,제피르·하리마,ゼファー・ハリマ,Zephyr Halima,Zephyr Halima,Zephyr Halima,Zephyr Halima,Zephyr Halima,Zefir Halima,Zephyr Halima,Zephyr Halima,Zephyr Halima,Zephyr Halima,Зефир Халима,Zephyr Halima,เซเฟอร์ ฮาลิมา,Zephyr Halima,زِفير حليمة
泽菲尔,Zephyr,Name,橙色守护的船员名称 | Orange Guardian Crew Member,,澤菲爾,제피르,ゼファー,Zephyr,Zephyr,Zephyr,Zephyr,Céfiro,Zefir,Zephyr,Zephyr,Zephyr,Zephyr,Зефир,Zephyr,เซเฟอร์,Zephyr,زِفير
波立·维利索佛,Poly Verisof,Name,"科学教牧师，在卡尔根和四王国传教。狡猾且幽默，有很多以科技伪装成宗教德小把戏。| He is one of the colonist's children on Terminus who are intrigued by the mysterious Vault, and later the High Claric of the Church of the Galactic Spirit.",,波立·維利索佛,보리·빌리소프,ポリー・ヴェリソフ,Poly Verisof,Poly Verisof,Poly Verisof,Poly Verisof,Poly Verisof,Poly Verisof,Poly Verisof,Poly Verisof,Poly Verisof,Poly Verisof,Поли Верисов,Poly Verisof,โพลี เวอริซอฟ,Poly Verisof,بولي فيريسوف
波立,Poly,Name,橙色顾问的船员名称 | Orange Consultant Crew Member,,波立,보리,ポリー,Poly,Poly,Poly,Poly,Poly,Poly,Poly,Poly,Poly,Poly,Поли,Poly,โพลี,Poly,بولي
法拉·基恩,Phara Keaen,Name,安娜克里昂大猎手，仇恨帝国（弟弟等家人死于帝国皇帝发动的针对安娜克里昂的核打击），为了夺取无畏舰制造川陀空袭，曾试图侵略端点星，最终被塞夫·哈定杀死。| Phara is Anacreon and has plans for the Foundation after the Galactic Empire attacked her world.,,法拉·基恩,파라·키언,ファラ・キーン,Phara Keaen,Phara Keaen,Phara Keaen,Phara Keaen,Phara Keaen,Phara Keaen,Phara Keaen,Phara Keaen,Phara Keaen,Phara Keaen,Фара Кин,Phara Keaen,ฟารา เคียน,Phara Keaen,فارا كين
法拉,Phara,Name,橙色勇士的船员名称 | Orange Warrior Crew Member,,法拉,파라,ファラ,Phara,Phara,Phara,Phara,Phara,Phara,Phara,Phara,Phara,Phara,Фара,Phara,ฟารา,Phara,فارا
凌吉·陈,Linge Chen,Name,"帝国的实际掌权人，帝国理事会会长 | Linge Chen was a powerful figure in the Galactic Empire at the dawn of the Interregnum, and its de facto leader as Chief Commissioner of the Commission of Public Safety from 12060 GE until his death in 12069 GE.",,凌吉·陳,린지·첸,リンジ・チェン,Linge Chen,Linge Chen,Linge Chen,Linge Chen,Linge Chen,Linge Chen,Linge Chen,Linge Chen,Linge Chen,Linge Chen,Линг Чен,Linge Chen,หลินเกอเฉิน,Linge Chen,لينغ تشين
凌吉,Linge,Name,橙色智者的船员名称 | Orange Sage Crew Member,,凌吉,린지,リンジ,Linge,Linge,Linge,Linge,Linge,Linge,Linge,Linge,Linge,Linge,Линг,Linge,หลิน,Linge,لينغ
塞弗·哈定,Salvor Hardin,Name,Salvor Hardin (18 FE - 84 FE) was the first and one of the greatest mayors ever to rule Terminus and the First Foundation.,,塞弗·哈定,세이버·하딘,サルヴァー・ハーディン,Salvor Hardin,Salvor Hardin,Salvor Hardin,Salvor Hardin,Salvor Hardin,Salvor Hardin,Salvor Hardin,Salvor Hardin,Salvor Hardin,Salvor Hardin,Сальвор Хардин,Salvor Hardin,ซัลวอร์ ฮาร์ดิน,Salvor Hardin,سلفور هاردين
塞弗,Salvor,Name,哈定-火炮手船员名称 |Crew Member,,塞弗,세이버,サルヴァー,Salvor,Salvor,Salvor,Salvor,Salvor,Salvor,Salvor,Salvor,Salvor,Salvor,Сальвор,Salvor,ซัลวอร์,Salvor,سلفور
芮奇·谢顿,Raych Seldon,Name,"Raych Seldon (12008 GE - 12058 GE), previously known only as Raych, was the adopted son of Hari Seldon.",,瑞奇·謝頓,레이지·셀던,レイチ・セルダン,Raych Seldon,Raych Seldon,Raych Seldon,Raych Seldon,Raych Seldon,Raych Seldon,Raych Seldon,Raych Seldon,Raych Seldon,Raych Seldon,Рейч Селдон,Raych Seldon,เรย์ช เซลดอน,Raych Seldon,رايش سيلدون
芮奇,Raych,Name,盖尔·多尼克船员名称 | Crew Member,,瑞奇,레이지,レイチ,Raych,Raych,Raych,Raych,Raych,Raych,Raych,Raych,Raych,Raych,Рейч,Raych,เรย์ช,Raych,رايش
星标委托,Starred Commission,Event,,,星標委託,특급 위탁,星標依頼,Stjärnbeställning,Gwiezdne zlecenie,Opdracht met ster,Penugasan Berbintang,Encargo con estrellas,Yıldızlı Komisyon,Ủy Thác Gắn Dấu Sao,Commission étoilée,Stern-Auftrag,Commissione con stella,Избранное поручение,Incumbência Estrelada,ภารกิจติดดาว,Tugasan Berbintang,مهمة مميزة
情报商店,Intel Exchange,Name,商店名 | Shop Name,,情報商店,정보 거래소,情報ストア,Underrättelsebörs,Wymiana informacji,Inlichtingenbeurs,Pertukaran Intel,Intercambio de información,İstihbarat Takası,Trao Đổi Tình Báo,Échange de renseignements,Informationsaustausch,Scambio di informazioni,Обмен разведданными,Loja de Informações,ร้านค้าข่าวกรอง,Terminal Pertukaran Maklumat Risikan,تبادل المعلومات
情报数据,Intel Data,Item,情报商店代币名称 | Token used in the shop,,情報數據,정보 데이터,情報データ,Underrättelsedata,Dane wywiadowcze,Inlichtingengegevens,Data Intel,Datos de información,İstihbarat Verileri,Thông Tin Tình Báo,Échange de données,Spionageinfos,Dati delle informazioni,Разведданные,Dados de Inteligência,ข้อมูลข่าวกรอง,Data Maklumat Risikan,المعلومات الاستخباراتية
幸运彩蛋,Lucky Eggs,Item,春日庆典活动道具 | Springtime Celebration Event Item,,幸運彩蛋,행운의 이스터에그,ラッキーエッグ,Turägg,Jajka szczęścia,Gelukseieren,Telur Keberuntungan,Huevos de la suerte,Şanslı Yumurtalar,Trứng May Mắn,Œuf de Pâques,Glückseier,Uova della fortuna,Счастливые яйца,Ovos da Sorte,ไข่นำโชค,Telur Bertuah,بيض الحظ
概率展示,Odds,Name,,,概率展示,확률 안내,確率,Odds,Prawdopodobieństwo,Kansen,Peluang,Probabilidades,Olasılıklar,Xác Suất,Probabilités,Chancen,Probabilità,Шансы,Probabilidades,อัตรา,Kemungkinan,الاحتمالات
进度奖励,Progress Rewards,Name,,,進度獎勵,진행도 보상,進捗報酬,Framstegsbelöningar,Nagrody za postęp,Voortgangsbeloningen,Hadiah Kemajuan,Recompensas de progreso,İlerleme Ödülleri,Phần Thưởng Tiến Độ,Récompenses de progression,Fortschrittsbelohnungen,Ricompense per i progressi,Награды за прогресс,Recompensas de Progresso,รางวัลความคืบหน้า,Ganjaran Kemajuan,مكافآت التقدّم
宝库兑换,Vault Exchange,Name,,,寶庫兌換,보물고 교환,宝庫交換,Valvutbyte,Wymiana Skarbca,Kluisbeurs,Penukaran Vault,Intercambio de la bóveda,Kasa Takası,Đổi Kho,Échange du coffre-fort,Tresortausch,Scambi del caveau,Обмен Хранилища,Troca de Tesouros,แลกเปลี่ยนห้องนิรภัย,Pertukaran Kubah,تبادل الخزنة
宝库积分,Vault Point,Item,,,寶庫積分,금고 포인트,トレジャリーポイント,Valvpoäng,Punkty Skarbca,Kluispunten,Poin Vault,Puntos de bóveda,Kasa Puanları,Điểm Kho,Points de coffre-fort,Tresorpunkte,Punti caveau,Очки Хранилища,Pontos de Cofre,คะแนนห้องนิรภัย,Mata Kubah,نقاط الخزنة
宝库钥匙,Vault Key,Item,春日庆典转盘消耗道具 | Item Name,,寶庫鑰匙,금고 열쇠,トレジャリーキー,Valvnyckel,Klucz do Skarbca,Kluissleutel,Kunci Vault,Llave de la bóveda,Kasa Anahtarı,Chìa Khóa Kho,Clé de coffre-fort,Tresorschlüssel,Chiave del caveau,Ключ от Хранилища,Chave do Cofre,กุญแจห้องนิรภัย,Kunci Kubah,مفتاح الخزنة
踏春寻宝,Springtime Treasure Hunt,Event,活动名 | Event Title,,踏春尋寶,봄맞이 보물찾기,春の宝探し,Vårens skattjakt,Wiosenne Poszukiwanie Skarbów,Lenteschattenjacht,Perburuan Harta Karun Musim Semi,Cacería de tesoros primaveral,Bahar Hazine Avı,Săn Kho Báu Mùa Xuân,Chasse au trésor printanière,Frühlingsschatzsuche,Caccia al tesoro di primavera,Весенняя охота за яйцами,Caça ao Tesouro da Primavera,ล่าสมบัติฤดูใบไม้ผลิ,Perburuan Harta Karun Musim Bunga,البحث عن كنوز الربيع
旗舰外观,Flagship Skins,Name,,,旗艦外觀,군함 외형,旗艦スキン,Flaggskepp-skins,Skórki okrętu flagowego,Vlaggenschip-skins,Skin Flagship,Aspectos de nave insignia.,Amiral Gemisi Görünümleri,Diện Mạo Soái Hạm,Apparence de vaisseau amiral,Flaggschiff-Skins,Skin ammiraglia,Облики флагмана,Visuais de Nau Capitânia,สกินยานเรือธง,Kulit Kapal Laksamana,تصاميم سفينة القيادة
特效,Special Effects,Name,,,特效,특수 효과,エフェクト,Specialeffekter,Efekty specjalne,Speciale effecten,Efek Spesial,Efectos especiales,Özel Etkiler,Hiệu Ứng Đặc Biệt,Effets spéciaux,Spezialeffekte,Effetti speciali,Особые эффекты,Efeitos Especiais,เอฟเฟกต์พิเศษ,Kesan Khas,تأثيرات خاصة
航行伙伴,Voyage Companion,Name,,,航行夥伴,항해 동료,航行パートナー,Färdkamrat,Kompan w podróży,Reisgenoot,Kawan Perjalanan,Compañera de travesía,Yol Arkadaşı,Bạn Đồng Hành Lữ Trình,Compagnon de voyage,Reisebegleiter,Compagni di viaggio,Спутник,Colega de Viagem,เพื่อนร่วมเดินทาง,Teman Kembara,بطل الرحلة
商会,Guild,Name,,,商會,길드,ギルド,Handelsgille,Gildia handlowa,Handelsgilde,Guild Perdagangan,Gremio de comercio,Ticaret Loncası,Thương Hội,Guilde du commerce,Händlergilde,Gilda del commercio,Торговая гильдия,Guilda Comercial,สมาคมการค้า,Persatuan Perdagangan,نقابة التجارة
仓储,Storage,Name,背包道具名 | Inventory,,倉儲,인벤토리,倉庫,Lager,Magazyn,Opslag,Simpan,Almacén,Depo,Kho Chứa,Stockage,Lager,Scorte,Склад,Estoque,ช่องเก็บของ,Simpanan,التخزين
招募,Recruit,Feature,,,招募,모집,募集,Rekrytera,Rekrutuj,Rekruteren,Rekrut,Reclutar,İşe Al,Chiêu Mộ,Recrue,Rekrutieren,Recluta,Вербовка,Recrutar,รับสมัคร,Rekrut,تجنيد
元光体,Radiant,Name,,,元光體,라디언트,レイディアント,Primär ljusbringare,Pierwszy Radiant,Prime Radiant,Cahaya Utama,Radiante principal,Birincil Parlak,Quang Thể Sơ Khai,Rayonnant,Primus-Radiant,Irraggiamento principale,Первичный радиант,Primeiro Radiante,ประถมรัศมี,Sinaran Utama,المشع الأول
通用,General,Feature,,,通用,통합,共通,Allmänt,Ogólne,Algemeen,Umum,General,Genel,Cài Đặt Chung,Général,Allgemein,Generale,Общие,Geral,ทั่วไป,Umum,عامة
宇宙,Space,Name,世界聊天频道 | Chat Channel Name,,宇宙,우주,宇宙,Universum,Wszechświat,Universum,Semesta,Universo,Evren,Vũ Trụ,Univers,Universum,Universo,Вселенная,Universo,จักรวาล,Alam Semesta,عامة
行商,Trader,Name,对玩家的称呼 | Player,,行商,트레이더,行商人,Handlare,Handlarz,Handelaar,Trader,Comerciante,Tüccar,Thương Nhân,Commerçant,Händler,Mercante,Торговец,Negociante,ผู้ค้า,Pedagang,التاجر
商业王侯,Trader Prince,Name,星系官员职位 | Official Title,,商業王侯,상업의 귀족,トレードプリンス,Handelsprins,Książę handlarzy,Handelsvorst,Pangeran Trader,Príncipe Comerciante,Tüccar Prensi,Hoàng Tử Giao Thương,Prince commerçant,Händlerprinz,Principe commerciante,Торговый принц,Príncipe Negociante,เจ้าชายนักการค้า,Putera Pedagang,الأمير التاجر
新,New,Other,,,新,신규,NEW,Nytt,Nowość,Nieuw,Baru,Nuevo,Yeni,Mới,Nouv.,Neu,Nuovo,Новое,Novo,ใหม่,Baharu,جديد
免费,Free,Other,,,免費,무료,無料,Gratis,Za darmo,Gratis,Gratis,Gratis,Ücretsiz,Miễn Phí,Gratuit,Kostenlos,Gratis,Бесплатно,Grátis,ฟรี,Percuma,مجاني
至高教,Ascendancy,Name,敌对势力 | Enemy,,至高教,초월교,至高教,Ascendenten,Supremacja,Ascendancy,Ascendancy,Ascendencia,Yükseliş,Chí Tôn Phái,Ascendance,Ascendancy,Supremazia,Абсолют,Ascendência,ลัทธิเรืองอำนาจ,Kekuasaan,السلطة
断流行动,Operation Blackout,Event,活动名 | Event Title,,斷流行動,블랙아웃 작전,補給路遮断作戦,Operation Mörkläggning,Operacja Zaciemnienie,Operatie Blackout,Operasi Pemadaman,Operación Apagón,Karartma Operasyonu,Chiến Dịch Cô Lập,Opération Blackout,Operation Blackout,Operazione blackout,Операция «Затмение»,Operação Blecaute,ปฏิบัติการแบล็กเอาต์,Operasi Blackout,عملية التعتيم
活动说明,Event Rules,Name,,,活動規則,이벤트 설명,イベント説明,Eventregler,Zasady wydarzenia,Eventregels,Aturan Event,Reglas del evento,Etkinlik Kuralları,Quy Tắc Sự Kiện,Règles de l'événement,Eventregeln,Regole dell'evento,Правила события,Regras do Evento,กฎอีเวนต์,Peraturan Acara,قواعد الحدث
星省,Province,Name,,,星省,행성 구역,星系州,Provins,Prowincja,Provincie,Province,Provincias,Eyalet,Tinh Vực,Provinces,Provinzen,Provincia,Сектор,Províncias,เขต,Wilayah,المنطقة
星系,star system,Name,,,星系,성계,星系,Solsystem,System gwiezdny,Sterrenstelsel,Sistem Bintang,Sistema estelar,Yıldız Sistemi,Hệ Sao,Système stellaire,Sternsystem,Sistema stellare,Звездная система,Sistema Estelar,ระบบดาวฤกษ์,Sistem Bintang,النظام النجمي
征缴令,Collector Order,Item,"消灭征缴船后获得的道具，可兑换奖励 | Item obtained from defeating Tithe Collectors, can be used to exchange rewards.",,徵繳令,징수 명령,徴収令,Skattmasorder,Rozkaz poborcy,Inningsorder,Pesanan Kolektor,Pedido del coleccionista,Tahsildar Emri,Lệnh Thu Thuế Thập Phân,Ordre de percepteur,Tributbefehl,Ordine dell'Esattore,Приказ сборщика,Ordem de Coletor,คำสั่งเจ้าหน้าที่เก็บภาษี,Perintah Pengumpul,أمر الجامع
银河行商协会,Galactic Trade Consortium,Name,,,銀河行商協會,갤럭시 트레이더 협회,銀河交易連合,Galaktiska Handelskonsortiet,Galaktyczne Konsorcjum Handlowe,Kosmisch handelsconsortium,Konsorsium Perdagangan Galaksi,Consorcio de Comercio Galáctico,Galaktik Ticaret Konsorsiyumu,Hiệp Hội Thương Nhân Thiên Hà,Consortium Commercial Galactique,Galaktisches Handelskonsortium,Consorzio Commerciale Galattico,Галактический торговый консорциум,Consórcio de Comércio Galáctico,สหพันธ์การค้ากาแลกติก,Konsortium Perdagangan Galaksi,اتحاد التجارة المجرّي
至高堡垒,Ascendancy Fortress,Name,主堡 | Fortress,,至高堡壘,초월교 요새,至高要塞,Ascendentfästningen,Forteca Supremacji,Ascendancy-vesting,Benteng Ascendancy,Fortaleza de la Ascendencia,Yükseliş Hisarı,Pháo Đài Chí Tôn,Forteresse de l'Ascendance,Ascendancy-Festung,Fortezza della Supremazia,Крепость «Абсолюта»,Fortaleza da Ascendência,ป้อมปราการลัทธิเรืองอำนาจ,Kubu Kekuasaan,حصن السلطة
任命,appoint,Feature,,,任命,임명,任命,Utse,Wyznacz,Toewijzen,Tunjuk,Asignar,Ata,Bổ Nhiệm,Affecter,Ernennen,Nomina,Назначить,Nomear,แต่งตั้ง,Lantik,تعيين
爆炸吧，机器人！,"Kaboom, robots!",Name,活动名 | Event Title,,爆炸吧，機器人！,"폭발해라, 로봇이여!",ロボット大爆発！,"Kabom, robotar!","Bum, roboty!","Boem, robots!","Duarr, robot!","¡Bum, robots!","Güm, robotlar!","Bùm, rô-bốt!","Boum, les robots !","Kabumm, Roboter!",Robot... boom!,"Бабах, роботы!",Robôs... Cabum!,บึ้มไปซะ เจ้าหุ่นยนต์!,"Kaboom, robot!",تفجير، أيها الروبوتات!
关卡,stage,Name,,,關卡,스테이지,ステージ,Fas,Etap,Fase,Tahap,Etapa,Aşama,Màn,Étape,Stufe,Fase,Этап,Fase,ด่าน,Peringkat,المرحلة
沃尔夫,Wolf,Name,星系名称 | Star system,,沃爾夫,울프,ウルフ,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Вулф,Wolf,วูลฟ์,Wolf,ولف
布林克,Brink,Name,星系名称 | Star system,,布林克,브링크,ブリンク,Brink,Brink,Brink,Brink,Brink,Brink,Bờ Vực,Brink,Brink,Brink,Бринк,Brink,บริงก์,Brink,برينك
阿丽娅,Aliya,Name,透光教祭司的守护者 | guardian of the Luminism Priestess,,阿麗婭,알리아,アリーヤ,Aliya,Aliya,Aliya,Aliya,Aliya,Aliya,Aliya,Aliya,Aliya,Aliya,Алия,Aliya,อาไลย่า,Aliya,عليا
战争堡垒,War Fortress,Name,商会对决中的大本营 | Fortress in Guild Duel,,戰爭堡壘,전쟁 요새,戦争要塞,Krigsfästning,Forteca wojenna,Oorlogsvesting,War Fortress,Fortaleza de Guerra,Savaş Hisarı,Pháo Đài Chiến Tranh,Forteresse de guerre,Kriegsfestung,Fortezza di guerra,Боевая крепость,Fortaleza de Guerra,ป้อมปราการสงคราม,Kubu Peperangan,قلعة الحرب
战争棱核,War Prism,Name,商会对决中的怪物名 | Boss in Guild Duel,,戰爭核心,전쟁 프리즘 코어,ウォープリズム,Krigsprisma,Pryzmat Wojny,Oorlogsprisma,War Prism,Prisma de guerra,Savaş Prizması,Lăng Kính Chiến Tranh,Prisme de guerre,Kriegsprisma,Prisma di guerra,Боевая призма,Prisma de Guerra,วอร์ปริซึม,Prisma Peperangan,منشور الحرب
航行奇遇,Voyage Encounter,Name,探索营地事件名称 | Explore Event,,航行奇遇,항해 탐험,スペース・エンカウンター,Färdmöte,Incydent,Ontmoeting,Pertemuan Perjalanan,Encuentro de la travesía,Yolculuk Karşılaşması,Chạm Trán Du Hành,Rencontre itinérante,Reisebegegnung,Incontro in viaggio,Попутная встреча,Encontro de Viagem,การพบปะระหว่างการเดินทาง,Pertemuan Perjalanan,مواجهة الرحلة
时光信标,Temporal Beacon,Item,限定船员抽取道具 | Item for limited crew member draw,,時光信標,시간의 신호기,テンポラルビーコン,Temporal signalsändare,Nadajnik czasowy,Temporele baken,Suar Temporal,Baliza temporal,Zamansal Fener,Đèn Hiệu Thời Không,Balise temporelle,Zeitbake,Faro temporale,Временной маячок,Farol Temporal,สัญญาณประกาศกาลเวลา,Suar Temporal,منارة الزمن
时光变量,Temporal Variable,Item,限定船员抽取道具 | Item for limited crew member draw,,時光變量,시간의 변수,テンポラル変数,Temporal variabel,Zmienna czasowa,Temporele variabele,Variabel Temporal,Variable temporal,Zamansal Değişken,Biến Thời Không,Variable temporelle,Zeitvariable,Variabile temporale,Временная переменная,Variável Temporal,ตัวแปรกาลเวลา,Pembolehubah Temporal,المتغيّر الزمني
变量商店,Variable Exchange Shop,Name,,,變量商店,변수 상점,変数ストア,Inbytesbutik för variabler,Sklep wymiany zmiennych,Variabele ruilwinkel,Toko Penukaran Variabel,Tienda de intercambio variable,Değişken Takas Mağazası,Cửa Hàng Trao Đổi Biến,Magasin d'échange de variables,Variablen-Tauschladen,Negozio di scambio della variabile,Магазин обмена переменных,Loja de Troca Variável,ร้านค้าแลกเปลี่ยนตัวแปร,Kedai Tukaran Boleh Ubah,متجر تبادل المتغيّرات
果敢青铜,Resolute Bronze,Name,,,果敢青銅,과감의 브론즈,リゾリュート・ブロンズ,Beslutsamt brons,Niezachwiany brąz,Vastberaden brons,Resolute Bronze,Bronce resuelto,Dirençli Bronz,Đồng Kiên Cường,Résolution du bronze,Entschlossene Bronze,Bronzo risoluto,Решительная бронза,Bronze da Resolução,ทองแดงยืนหยัด,Gangsa Teguh,البرونز الصامد
无畏白银,Fearless Silver,Name,,,無畏白銀,용기의 실버,フィアレス・シルバー,Modigt silver,Nieustraszone srebro,Onverschrokken zilver,Fearless Silver,Plata intrépida,Korkusuz Gümüş,Bạc Gan Dạ,Témérité de l'argent,Furchtloses Silber,Argento impavido,Бесстрашное серебро,Prata do Destemor,เงินใจกล้า,Perak Tanpa Gentar,الفضة الشجاعة
荣耀铂金,Glorious Platinum,Name,,,榮耀鉑金,영광의 플래티넘,グロリアス・プラチナ,Lysande platina,Wspaniała platyna,Glorieus platina,Glorious Platinum,Platino glorioso,Görkemli Platin,Bạch Kim Huy Hoàng,Gloire du platine,Ruhmreiches Platin,Platino glorioso,Славная платина,Platina da Glória,แพลตตินัมทรงเกียรติ,Platinum Gemilang,البلاتين المجيد
辉煌钻石,Radiant Diamond,Name,,,輝煌鑽石,찬란의 다이아몬드,レディアント・ダイヤモンド,Strålande diamant,Promienny diament,Stralende diamant,Radiant Diamond,Diamante radiante,Parlak Elmas,Kim Cương Rực Rỡ,Aura du diamant,Strahlender Diamant,Diamante radioso,Сияющий алмаз,Diamante da Radiância,เพชรส่องประกาย,Berlian Bersinar,الألماس المشع
无双大师,Peerless Master,Name,,,無雙大師,지존의 마스터,ピアレス・マスター,Makalös mästare,Niezrównany mistrz,Weergaloze meester,Peerless Master,As sin parangón,Eşsiz Usta,Cao Thủ Bất Bại,Invincibilité du maître,Einzigartiger Meister,Maestro impareggiabile,Непревзойденный мастер,Mestre Incomparável,ชั้นยอดไร้คู่แข่ง,Mahaguru Tiada Tandingan,المعلّم الفريد
青铜,Bronze,Name,,,青銅,브론즈,ブロンズ,Brons,Brąz,Brons,Bronze,Bronce,Bronz I,Đồng,Bronze,Bronze,Bronzo,Бронза,Bronze,ทองแดง,Gangsa,برونزي
白银,Silver,Name,,,白銀,실버,シルバー,Silver,Srebro,Zilver,Silver,Plata,Gümüş I,Bạc,Argent,Silver,Argento,Серебро,Prata,เงิน,Perak,فضي
黄金,Gold,Name,,,黃金,골드,ゴールド,Guld,Złoto,Goud,Gold,Oro,Altın,Vàng,Or,Gold,Oro,Золото,Ouro,ทอง,Emas,ذهبي
铂金,Platinum,Name,,,鉑金,플래티넘,プラチナ,Platina,Platyna,Platina,Platinum,Platino,Platin,Bạch Kim,Platine,Platin,Platino,Платина,Platina,แพลตตินัม,Platinum,بلاتيني
钻石,Diamond,Name,,,鑽石,다이아,ダイヤモンド,Diamant,Diament,Diamant,Diamond,Diamante,Elmas,Kim Cương,Diamant,Diamant,Diamante,Алмаз,Diamante,เพชร,Berlian,ماسي
大师,Master,Name,,,大師,마스터,マスター,Mästare,Mistrz,Meester,Master,Maestría,Usta,Cao Thủ,Maître,Meister,Maestro,Мастер,Mestre,เด็คยอด,Mahaguru,السيد
段位积分,Rank Points,Name,,,段位積分,티어 포인트,ランクポイント,Rankpoäng,Punkty rankingowe,Klassementspunten,Poin Peringkat,Puntos de rango,Rütbe Puanları,Điểm Hạng,Points de classement,Rangpunkte,Punti grado,Очки за ранг,Pontos de Ranque,คะแนนอันดับ,Mata Kedudukan,نقاط الترتيب
内森,Nathan,Name,蓝色建筑师1船员名字 | Blue Architect Crew Member 1,,內森,네이슨,ネイサン,Nathan Kärna,Nathan Core,Nathan Core,Nathan Core,Nathan Core,Nathan Core,Nathan Core,Nathan Core,Nathan Core,Nathan Core,Нейтан,Nathan Core,เนธาน คอร์,Nathan Core,ناثان
伊莎贝尔,Isabel,Name,蓝色建筑师2船员名字 | Blue Architect Crew Member 2,,伊莎貝爾,이사벨,イザベル,Isabel Våg,Isabel Tide,Isabel Tide,Isabel Tide,Isabel Tide,Isabel Tide,Isabel Tide,Isabel Tide,Isabel Tide,Isabel Tide,Изабель,Isabel Tide,อิซาเบล ไทด์,Isabel Tide,إيزابيل
奥利弗,Oliver,Name,蓝色工程师1船员名字 | Blue Enginner Crew Member 1,,奧利弗,올리버,オリバー,Oliver Flux,Oliver Flux,Oliver Flux,Oliver Flux,Oliver Flux,Oliver Flux,Oliver Flux,Oliver Flux,Oliver Flux,Oliver Flux,Оливер,Oliver Flux,โอลิเวอร์ ฟลักซ์,Oliver Flux,أوليفر
阿米娜,Amina,Name,蓝色工程师2船员名字 | Blue Enginner Crew Member 2,,阿米娜,아미나,アミーナ,Amina Himmel,Amina Sky,Amina Sky,Amina Sky,Amina Sky,Amina Sky,Amina Sky,Amina Sky,Amina Sky,Amina Sky,Амина,Amina Sky,อมินา สกาย,Amina Sky,أمينة
查顿,Chayton,Name,蓝色工程师3船员名字 | Blue Enginner Crew Member 3,,查頓,제돈,チェイトン,Chayton Ås,Chayton Ridge,Chayton Ridge,Chayton Ridge,Chayton Ridge,Chayton Ridge,Chayton Ridge,Chayton Ridge,Chayton Ridge,Chayton Ridge,Чайтон,Chayton Ridge,เชย์ตัน ริดจ์,Chayton Ridge,شايتون
艾米丽,Emily,Name,蓝色净水工船员名字 |Blue Water Purifier Crew Member,,艾蜜莉,에밀리,エミリー,Emily Sol,Emily Sol,Emily Sol,Emily Sol,Emily Sol,Emily Sol,Emily Sol,Emily Sol,Emily Sol,Emily Sol,Эмили,Emily Sol,เอมิลี่ โซล,Emily Sol,إميلي
奥伯龙,Oberon,Name,蓝色仓管船员名字 | Blue Warehouse Keeper Crew Member,,奧伯龍,오베론,オベロン,Oberon Kvark,Oberon Quark,Oberon Quark,Oberon Quark,Oberon Quark,Oberon Quark,Oberon Quark,Oberon Quark,Oberon Quark,Oberon Quark,Оберон,Oberon Quark,โอเบอรอน ควาร์ก,Oberon Quark,أوبيرون
扎赫拉,Zahra,Name,蓝色维修工船员名字 | Blue Maintenance Worker Crew Member,,扎赫菈,자흐라,ザーラ,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Zahra Timbuktu,Зара,Zahra Timbuktu,ซาฮ์รา ทิมบัคตู,Zahra Timbuktu,زهرة
马利克,Malik,Name,紫色建筑师1船员名字 | Purple Architect Crew Member 1,,馬利克,말리크,マリク,Malik Stierna,Malik Star,Malik Ster,Malik Star,Malik Estrella,Malik Star,Malik Star,Malik Star,Malik Star,Malik Star,Малик,Malik Star,มาลิก สตาร์,Malik Star,مالِك
